stop_id,stop_code,stop_name,stop_lat,stop_lon
"620212418","620212418","Pje. Gutiérrez y Basilea",-41.153060,-71.316110
"620211820","620211820","La Paz y Otto Goedecke",-41.152925,-71.301517
"6202140110","6202140110","La Paz y O'Connor",-41.152745,-71.303322
"620214051","620214051","La Paz y O'Connor",-41.152677,-71.304077
"620213958","620213958","La Habana y Namuncurá",-41.152612,-71.276398
"620213917","620213917","9 de Julio y 2 de Agosto",-41.152540,-71.288838
"620214052","620214052","La Paz y Beschtedt",-41.152490,-71.306110
"6202120210","6202120210","La Paz y Beschtedt",-41.152455,-71.306392
"6202139101","6202139101","9 de Julio y 2 de Agosto",-41.152410,-71.288837
"620212020","620212020","La Paz y Palacios",-41.152298,-71.307760
"6202119210","6202119210","Gimnasio Municipal N°2",-41.152200,-71.308760
"620211822","620211822","Gimnasio Municipal N°2",-41.152125,-71.309527
"620213951","620213951","Calle 5 y Monteverde",-41.152107,-71.279838
"620213833","620213833","Onelli y Padre Felipe Laguna",-41.151985,-71.300228
"6202140160","6202140160","2 de Agosto y Rivadavia",-41.151978,-71.294603
"620214046","620214046","2 de Agosto y Rivadavia",-41.151938,-71.294895
"6202119200","6202119200","La Paz y Quaglia",-41.151893,-71.311590
"6202140150","6202140150","2 de Agosto y Sarmiento",-41.151860,-71.295797
"620211823","620211823","La Paz y Morales",-41.151845,-71.312227
"620214047","620214047","2 de Agosto y Sarmiento",-41.151843,-71.295890
"620213959","620213959","La Habana y Calle 6",-41.151802,-71.275343
"620212417","620212417","Pje. Gutiérrez y La Paz",-41.151730,-71.315420
"620211824","620211824","La Paz y Pje. Gutiérrez",-41.151630,-71.314150
"620214048","620214048","2 de Agosto y Elordi",-41.151613,-71.298280
"6202140140","6202140140","2 de Agosto y Elordi",-41.151602,-71.298385
"620213730","620213730","Elordi y 2 de Agosto",-41.151570,-71.298740
"6202119190","6202119190","La Paz y Pje. Gutiérrez",-41.151565,-71.314685
"620211313","620211313","EEE N°5 Yampai",-41.151410,-71.300060
"6202140130","6202140130","2 de Agosto y Onelli",-41.151405,-71.300375
"6202140120","6202140120","O'Connor y 2 de Agosto",-41.151377,-71.303007
"6202119230","6202119230","Beschtedt y Padre Felipe Laguna",-41.151313,-71.305917
"620214518","620214518","Acceso a Cerro Catedral - Puesto Policial",-41.151262,-71.439323
"620214050","620214050","2 de Agosto y O'Connor",-41.151188,-71.302510
"620213960","620213960","La Habana y Calle 4",-41.151132,-71.274417
"620215020","620215020","Acceso a Cerro Catedral - Puesto Policial",-41.151112,-71.439272
"620213918","620213918","9 de Julio y Padre Mascardi",-41.151040,-71.288830
"6202139100","6202139100","9 de Julio y Padre Mascardi",-41.150900,-71.288830
"6202123090","6202123090","Pje. Gutiérrez y Rotonda",-41.150862,-71.314952
